LLchr	LLstart	LLend	LLstrand	LLgeneID	LLgeneSymbol	geneName	Ens99geneIDversion	EntrezGeneID	ZFINgeneID	RefSeqAnnotationNote	Ens99annotationNote
chrUn_KN150165v1	1367	16840	+	LL0000000060	ABCD2 (1 of many)	ATP binding cassette subfamily D member 2 [Source:HGNC Symbol;Acc:HGNC:66]	ENSDARG00000099178.2	101882118		geneAbbrevConflict; gffcompare transcript match; overlap gene coordinates >90%	geneAbbrevConflict; gffcompare transcript match; overlap gene coordinates >90%
chr24	31310636	31332087	-	LL0000000061	abcd3a	"ATP-binding cassette, sub-family D (ALD), member 3a"	ENSDARG00000104085.2	406803	ZDB-GENE-040426-2868	Entrez gene ID import through exact transcript match from gffcompare and abbreviation match	Ens99 gene ID import through exact transcript match from gffcompare and abbreviation match
chr2	15108425	15125619	-	LL0000000062	abcd3b	"ATP-binding cassette, sub-family D (ALD), member 3b"	ENSDARG00000002947.10	100170781	ZDB-GENE-050517-29	Entrez gene ID import through exact transcript match from gffcompare and abbreviation match	Ens99 gene ID import through exact transcript match from gffcompare and abbreviation match
chr24	35910950	35930397	+	LL0000000063	abcd4	"ATP-binding cassette, sub-family D (ALD), member 4"	ENSDARG00000061770.7	767748	ZDB-GENE-050517-30	Entrez gene ID import through exact transcript match from gffcompare and abbreviation match	Ens99 gene ID import through exact transcript match from gffcompare and abbreviation match
chr23	43695036	43718089	-	LL0000000064	abce1	"ATP-binding cassette, sub-family E (OABP), member 1"	ENSDARG00000007216.8	406324	ZDB-GENE-040426-1995	Entrez gene ID import through exact transcript match from gffcompare and abbreviation match	Ens99 gene ID import through exact transcript match from gffcompare and abbreviation match
chr19	30428898	30447743	-	LL0000000065	abcf1	"ATP-binding cassette, sub-family F (GCN20), member 1"	ENSDARG00000031795.9	406467	ZDB-GENE-050517-31	Entrez gene ID import through exact transcript match from gffcompare and abbreviation match	Ens99 gene ID import through exact transcript match from gffcompare and abbreviation match
chr2	32505554	32513538	-	LL0000000066	abcf2a	"ATP-binding cassette, sub-family F (GCN20), member 2a"	ENSDARG00000038785.5	336770	ZDB-GENE-030131-8714	Entrez gene ID import through exact transcript match from gffcompare and abbreviation match	Ens99 gene ID import through exact transcript match from gffcompare and abbreviation match
chr7	41403690	41420226	-	LL0000000067	abcf2b	"ATP-binding cassette, sub-family F (GCN20), member 2b"	ENSDARG00000052331.8	100000576	ZDB-GENE-050506-58	Entrez gene ID import through exact transcript match from gffcompare and abbreviation match	Ens99 gene ID import through exact transcript match from gffcompare and abbreviation match
chr2	1218758	1227221	-	LL0000000068	abcf3	"ATP-binding cassette, sub-family F (GCN20), member 3"	ENSDARG00000089705.3	100331227	ZDB-GENE-050517-32	Entrez gene ID import through exact transcript match from gffcompare and abbreviation match	Ens99 gene ID import through exact transcript match from gffcompare and abbreviation match
chr15	5028608	5077099	+	LL0000000069	abcg1	"ATP-binding cassette, sub-family G (WHITE), member 1"	ENSDARG00000063475.7	556979	ZDB-GENE-070424-84	Entrez gene ID import through exact transcript match from gffcompare and abbreviation match	Ens99 gene ID import through exact transcript match from gffcompare and abbreviation match
chr23	45906137	45936747	+	LL0000000070	abcg2a	"ATP-binding cassette, sub-family G (WHITE), member 2a"	ENSDARG00000100075.2	735312	ZDB-GENE-050517-35	Entrez gene ID import through exact transcript match from gffcompare and abbreviation match	Ens99 gene ID import through exact transcript match from gffcompare and abbreviation match
chr1	8673061	8691969	-	LL0000000071	abcg2b	"ATP-binding cassette, sub-family G (WHITE), member 2b"	ENSDARG00000079361.5	570453	ZDB-GENE-050517-36	Entrez gene ID import through exact transcript match from gffcompare and abbreviation match	Ens99 gene ID import through exact transcript match from gffcompare and abbreviation match
chr13	5028491	5065661	-	LL0000000072	abcg2c	"ATP-binding cassette, sub-family G (WHITE), member 2c"	ENSDARG00000058574.8	569858	ZDB-GENE-050517-37	Entrez gene ID import through exact transcript match from gffcompare and abbreviation match	Ens99 gene ID import through exact transcript match from gffcompare and abbreviation match
chr1	50564405	50592813	-	LL0000000073	abcg2d	"ATP-binding cassette, sub-family G (WHITE), member 2d"	ENSDARG00000016818.10	735310	ZDB-GENE-050517-38	Entrez gene ID import through exact transcript match from gffcompare and abbreviation match	Ens99 gene ID import through exact transcript match from gffcompare and abbreviation match
chr5	30624105	30677288	+	LL0000000074	abcg4a	"ATP-binding cassette, sub-family G (WHITE), member 4a"	ENSDARG00000061047.6	564842	ZDB-GENE-050517-39	Entrez gene ID import through exact transcript match from gffcompare and abbreviation match	Ens99 gene ID import through exact transcript match from gffcompare and abbreviation match
chr15	23487730	23508214	-	LL0000000075	abcg4b	"ATP-binding cassette, sub-family G (WHITE), member 4b"	ENSDARG00000078068.3	794238	ZDB-GENE-080215-10	Entrez gene ID import through exact transcript match from gffcompare and abbreviation match	Ens99 gene ID import through exact transcript match from gffcompare and abbreviation match
chr13	10945337	10968607	+	LL0000000076	abcg5	"ATP-binding cassette, sub-family G (WHITE), member 5"	ENSDARG00000063078.5	557317	ZDB-GENE-050517-40	Entrez gene ID import through exact transcript match from gffcompare and abbreviation match	Ens99 gene ID import through exact transcript match from gffcompare and abbreviation match
chr13	10926528	10945394	-	LL0000000077	abcg8	"ATP-binding cassette, sub-family G (WHITE), member 8"	ENSDARG00000063059.9	100136850	ZDB-GENE-050517-41	Entrez gene ID import through exact transcript match from gffcompare and abbreviation match	Ens99 gene ID import through exact transcript match from gffcompare and abbreviation match
chr17	24533989	24569830	-	LL0000000078	abch1	"ATP-binding cassette, sub-family H, member 1"	ENSDARG00000071341.6	558667	ZDB-GENE-050517-42	Entrez gene ID import through exact transcript match from gffcompare and abbreviation match	Ens99 gene ID import through exact transcript match from gffcompare and abbreviation match
chr5	67884038	67895858	-	LL0000000079	abhd10a	abhydrolase domain containing 10a	ENSDARG00000076435.8	568517	ZDB-GENE-060526-144	Entrez gene ID import through exact transcript match from gffcompare and abbreviation match	Ens99 gene ID import through exact transcript match from gffcompare and abbreviation match
chr24	21927191	21934232	-	LL0000000080	abhd10b	abhydrolase domain containing 10b		492622	ZDB-GENE-041111-196	Entrez gene ID import through exact transcript match from gffcompare and abbreviation match	Ens99 gene ID import by transcript match; but abbreviation conflict and limited gene overlap; may be complex gene structure or incorrect Ensembl assignment
chr21	25701264	25722834	-	LL0000000081	abhd11	abhydrolase domain containing 11	ENSDARG00000069501.4	446169	ZDB-GENE-040909-1	Entrez gene ID import through exact transcript match from gffcompare and abbreviation match	Ens99 gene ID import through exact transcript match from gffcompare and abbreviation match
chr17	21154576	21200406	-	LL0000000082	abhd12	abhydrolase domain containing 12	ENSDARG00000071004.7	767657	ZDB-GENE-060929-268	Entrez gene ID import through exact transcript match from gffcompare and abbreviation match	Ens99 gene ID import through exact transcript match from gffcompare and abbreviation match
chr9	5344189	5351029	-	LL0000000083	abhd13	abhydrolase domain containing 13	ENSDARG00000059209.5	561333	ZDB-GENE-051120-54	Entrez gene ID import through exact transcript match from gffcompare and abbreviation match	Ens99 gene ID import through exact transcript match from gffcompare and abbreviation match
chr22	10698546	10711522	+	LL0000000084	abhd14a	abhydrolase domain containing 14A	ENSDARG00000058367.7	404598	ZDB-GENE-040426-2428	Entrez gene ID import through exact transcript match from gffcompare and abbreviation match	Ens99 gene ID import through exact transcript match from gffcompare and abbreviation match
chr6	53428955	53435712	+	LL0000000085	abhd14b	abhydrolase domain containing 14B	ENSDARG00000100531.3	393338	ZDB-GENE-040426-1342	Entrez gene ID import through exact transcript match from gffcompare and abbreviation match	Ens99 gene ID import through exact transcript match from gffcompare and abbreviation match
chr15	24946321	24960781	-	LL0000000086	abhd15a	abhydrolase domain containing 15a	ENSDARG00000078768.4	560644	ZDB-GENE-131121-270	Entrez gene ID import through exact transcript match from gffcompare and abbreviation match	Ens99 gene ID import through exact transcript match from gffcompare and abbreviation match
chr16	10477533	10516970	-	LL0000000087	abhd16a	abhydrolase domain containing 16A	ENSDARG00000078929.5	564613	ZDB-GENE-010601-2	Entrez gene ID import through exact transcript match from gffcompare and abbreviation match	Ens99 gene ID import through exact transcript match from gffcompare and abbreviation match
chr2	49039112	49074973	+	LL0000000088	abhd17aa	abhydrolase domain containing 17Aa	ENSDARG00000091433.3	322121	ZDB-GENE-030131-840	Entrez gene ID import through exact transcript match from gffcompare and abbreviation match	Ens99 gene ID import through exact transcript match from gffcompare and abbreviation match
chr8	19228103	19246360	-	LL0000000089	abhd17ab	abhydrolase domain containing 17Ab	ENSDARG00000043084.6	100003419	ZDB-GENE-081105-136	Entrez gene ID import through exact transcript match from gffcompare and abbreviation match	Ens99 gene ID import through exact transcript match from gffcompare and abbreviation match
chr5	25733774	25757578	+	LL0000000090	abhd17b	abhydrolase domain containing 17B	ENSDARG00000035571.8	437017	ZDB-GENE-040718-244	Entrez gene ID import through exact transcript match from gffcompare and abbreviation match	Ens99 gene ID import through exact transcript match from gffcompare and abbreviation match
chr7	10911396	11005919	+	LL0000000091	abhd17c	abhydrolase domain containing 17C	ENSDARG00000058452.7	393126	ZDB-GENE-040426-714	Entrez gene ID import through exact transcript match from gffcompare and abbreviation match	Ens99 gene ID import through exact transcript match from gffcompare and abbreviation match
chr14	49994501	50028475	-	LL0000000092	abhd18	abhydrolase domain containing 18	ENSDARG00000101961.3	503769	ZDB-GENE-050306-53	Entrez gene ID import through exact transcript match from gffcompare and abbreviation match	Ens99 gene ID import on matching gene abbreviation and > 0.8 gene coordinate overlap using intersectBed
chr7	13824119	13861657	+	LL0000000093	abhd2a	abhydrolase domain containing 2a	ENSDARG00000025797.8	393888	ZDB-GENE-040426-784	Entrez gene ID import through exact transcript match from gffcompare and abbreviation match	Ens99 gene ID import through exact transcript match from gffcompare and abbreviation match
chr25	19120529	19139259	-	LL0000000094	abhd2b	abhydrolase domain containing 2b	ENSDARG00000045804.7	559290	ZDB-GENE-061027-74	Entrez gene ID import through exact transcript match from gffcompare and abbreviation match	Ens99 gene ID import through exact transcript match from gffcompare and abbreviation match
chr2	11848510	11912347	-	LL0000000095	abhd3	abhydrolase domain containing 3	ENSDARG00000018809.10	447830	ZDB-GENE-040912-90	Entrez gene ID import through exact transcript match from gffcompare and abbreviation match	Ens99 gene ID import through exact transcript match from gffcompare and abbreviation match
chr2	51645135	51657111	+	LL0000000096	abhd4	abhydrolase domain containing 4	ENSDARG00000102887.2	550276	ZDB-GENE-050417-83	Entrez gene ID import through exact transcript match from gffcompare and abbreviation match	Ens99 gene ID import through exact transcript match from gffcompare and abbreviation match
chr11	42035732	42099645	-	LL0000000097	abhd6a	abhydrolase domain containing 6a	ENSDARG00000060756.4	799085	ZDB-GENE-090925-1	Entrez gene ID import through exact transcript match from gffcompare and abbreviation match	Ens99 gene ID import on gene abbreviation and default intersectBed stringency for gene coordinate overlap
